,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
0,69,Паб «ШемроК»,637379578,бар,Юго-Западный административный округ,район Зюзино,"город Москва, Балаклавский проспект, дом 54",30,37.56736034551953,55.64960384473913,"{type=Point, coordinates=[37.56736034551953, 55.64960384473913]}",Маленький
1,88,Кафе Бар Бульвар,637380564,бар,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 40, корпус 3",60,37.551406851302794,55.87387927163779,"{type=Point, coordinates=[37.5514068513028, 55.8738792716378]}",Средний
2,95,НООКАН,637380810,бар,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Бирюзова, дом 10, корпус 1",45,37.4954516902978,55.7928691563389,"{type=Point, coordinates=[37.4954516902978, 55.7928691563389]}",Средний
3,182,Бар «Фитнес-бар»,637384796,бар,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 103, корпус 1",24,37.486189905729695,55.665149431598714,"{type=Point, coordinates=[37.4861899057297, 55.6651494315987]}",Маленький
4,186,БАР В ФИТНЕС КЛУБЕ,637384902,бар,Центральный административный округ,район Хамовники,"город Москва, Глазовский переулок, дом 5",4,37.5874647117225,55.7437860579185,"{type=Point, coordinates=[37.5874647117225, 55.7437860579185]}",Маленький
5,215,Loft 17,637386186,бар,Центральный административный округ,Таганский район,"город Москва, Волгоградский проспект, дом 17",55,37.67865335744428,55.72874106616099,"{type=Point, coordinates=[37.678653357444276, 55.72874106616099]}",Средний
6,224,Английский паб Букингем,637386555,бар,Северный административный округ,район Сокол,"город Москва, Волоколамское шоссе, дом 15/22",45,37.494473038884294,55.808365611384794,"{type=Point, coordinates=[37.4944730388843, 55.8083656113848]}",Средний
7,239,Клуб «Высотка»,637387133,бар,Центральный административный округ,Пресненский район,"город Москва, Кудринская площадь, дом 1",80,37.58082940186447,55.75914810521364,"{type=Point, coordinates=[37.58082940186447, 55.75914810521364]}",Большой
8,260,Craft RePUBlic,637388153,бар,Центральный административный округ,Тверской район,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7",38,37.60660720763094,55.76284658353207,"{type=Point, coordinates=[37.60660720763094, 55.76284658353206]}",Средний
9,269,Голову с плеч,637388497,бар,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 12, строение 1",20,37.60788640842785,55.76340440639177,"{type=Point, coordinates=[37.607886408427845, 55.76340440639177]}",Маленький
10,274,Howards Loves Craft,637388706,бар,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 15",35,37.60792869285984,55.76230136309129,"{type=Point, coordinates=[37.60792869285984, 55.76230136309129]}",Средний
11,312,Мохнатый шмель,637390127,бар,Центральный административный округ,Красносельский район,"город Москва, Даев переулок, дом 2",36,37.63427029105289,55.770349389433285,"{type=Point, coordinates=[37.63427029105289, 55.770349389433285]}",Средний
12,316,Бильярдный клуб «Лига»,637390543,бар,Южный административный округ,район Зябликово,"город Москва, улица Мусы Джалиля, дом 4, корпус 6",50,37.74071441174015,55.628703838390464,"{type=Point, coordinates=[37.74071441174014, 55.628703838390464]}",Средний
13,332,ДЕЙЛИН,637391065,бар,Северный административный округ,Тимирязевский район,"город Москва, Дмитровское шоссе, дом 48, корпус 1",20,37.5703468547877,55.845049588958304,"{type=Point, coordinates=[37.5703468547877, 55.8450495889583]}",Маленький
14,346,Юнона,637391713,бар,Северный административный округ,район Сокол,"город Москва, Дубосековская улица, дом 7",30,37.49779217396858,55.81117348849495,"{type=Point, coordinates=[37.49779217396858, 55.81117348849495]}",Маленький
15,371,Пенная галерея,637392863,бар,Восточный административный округ,район Перово,"город Москва, Зелёный проспект, дом 6, корпус 2",20,37.77493705422416,55.74800065764336,"{type=Point, coordinates=[37.77493705422415, 55.74800065764336]}",Маленький
16,395,Россо энд Бьянко,637394080,бар,Центральный административный округ,Тверской район,"город Москва, Долгоруковская улица, дом 5",32,37.6029818012329,55.772936533386115,"{type=Point, coordinates=[37.60298180123291, 55.772936533386115]}",Средний
17,400,Бар и бильярд «Стопка»,637394240,бар,Южный административный округ,район Царицыно,"город Москва, Кантемировская улица, дом 17, корпус 1",20,37.669892299503935,55.636823941725034,"{type=Point, coordinates=[37.66989229950394, 55.63682394172504]}",Маленький
18,425,Beer Gik,637395432,бар,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 22, строение 1",10,37.63441107333824,55.7620712031242,"{type=Point, coordinates=[37.634411073338235, 55.7620712031242]}",Маленький
19,428,Пробка Гриль,637395564,бар,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 24/7, строение 1",120,37.63563079956153,55.76248802260349,"{type=Point, coordinates=[37.63563079956152, 55.7624880226035]}",Большой
20,430,TEMPO DI PASTA,637395643,бар,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 24/7, строение 1",90,37.635593,55.762443999999995,"{type=Point, coordinates=[37.635593, 55.762444]}",Большой
