,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
0,0,СМЕТАНА,637376221,кафе,Северо-Восточный административный округ,Ярославский район,"город Москва, улица Егора Абакумова, дом 9",48,37.71456500043604,55.879001531303366,"{type=Point, coordinates=[37.71456500043604, 55.87900153130337]}",Средний
1,1,Родник,637376331,кафе,Центральный административный округ,Таганский район,"город Москва, улица Талалихина, дом 2/1, корпус 1",35,37.6733061300344,55.7382386551547,"{type=Point, coordinates=[37.6733061300344, 55.7382386551547]}",Средний
2,2,Кафе «Академия»,637376349,кафе,Центральный административный округ,Таганский район,"город Москва, Абельмановская улица, дом 6",95,37.6696475969381,55.7355114718314,"{type=Point, coordinates=[37.6696475969381, 55.7355114718314]}",Большой
3,3,ПИЦЦЕТОРИЯ,637376381,кафе,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 1",40,37.573329471209796,55.89195653973111,"{type=Point, coordinates=[37.5733294712098, 55.8919565397311]}",Средний
4,4,Кафе «Вишневая метель»,637376403,кафе,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 9, корпус 1",50,37.57230613167112,55.90408636984904,"{type=Point, coordinates=[37.57230613167112, 55.90408636984904]}",Средний
5,6,Брусника,637376481,кафе,Центральный административный округ,район Арбат,"город Москва, переулок Сивцев Вражек, дом 6/2",10,37.59812754844,55.747390490526,"{type=Point, coordinates=[37.59812754843999, 55.747390490525994]}",Маленький
6,11,Гогиели,637376678,кафе,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 49/1",24,37.719950378859075,55.74927598927656,"{type=Point, coordinates=[37.71995037885907, 55.74927598927656]}",Маленький
7,13,Алло Пицца,637376719,кафе,Новомосковский административный округ,поселение Щербинка,"город Москва, улица Авиаторов, дом 14",32,37.533280862092866,55.51401055012197,"{type=Point, coordinates=[37.53328086209287, 55.51401055012196]}",Средний
8,19,Американская Лаборатория Десертов,637377268,кафе,Центральный административный округ,район Арбат,"город Москва, Филипповский переулок, дом 15/5",20,37.5983536181483,55.75059067583209,"{type=Point, coordinates=[37.598353618148295, 55.750590675832086]}",Маленький
9,20,Кафе,637377295,кафе,Восточный административный округ,район Гольяново,"город Москва, Алтайская улица, дом 33/7",30,37.8316832687996,55.820792834222495,"{type=Point, coordinates=[37.8316832687996, 55.8207928342225]}",Маленький
10,21,КАФЕ УЮТ,637377318,кафе,Северо-Восточный административный округ,район Отрадное,"город Москва, Алтуфьевское шоссе, дом 14",110,37.585832175270156,55.85575028944078,"{type=Point, coordinates=[37.58583217527016, 55.85575028944077]}",Большой
11,22,Долина Чайхона,637377401,кафе,Северо-Восточный административный округ,район Отрадное,"город Москва, Алтуфьевское шоссе, дом 14",150,37.5858265787149,55.85566444982221,"{type=Point, coordinates=[37.5858265787149, 55.8556644498222]}",Большой
12,24,Кафетерий,637377476,кафе,Северо-Восточный административный округ,Алтуфьевский район,"город Москва, Алтуфьевское шоссе, дом 56",6,37.58783336201571,55.88080528015208,"{type=Point, coordinates=[37.58783336201571, 55.88080528015208]}",Маленький
13,25,Домино'с Пицца,637377497,кафе,Северо-Восточный административный округ,Алтуфьевский район,"город Москва, Алтуфьевское шоссе, дом 56",24,37.5877238646826,55.88078223099111,"{type=Point, coordinates=[37.5877238646826, 55.8807822309911]}",Маленький
