,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
5,СТОЛ. ПРИ ГОУ СОШ № 1051,637376480,столовая,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 15, корпус 1",240,37.571524892243914,55.90679765868325,"{type=Point, coordinates=[37.57152489224392, 55.90679765868325]}"
7,Буфет МТУСИ,637376500,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 8, строение 1",90,37.71542539189804,55.75516375097069,"{type=Point, coordinates=[37.71542539189803, 55.75516375097069]}"
8,КПФ СЕМЬЯ-1,637376534,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 8, строение 1",150,37.71542539189804,55.75516375097069,"{type=Point, coordinates=[37.71542539189803, 55.75516375097069]}"
9,Столовая МТУСИ,637376536,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 8, строение 1",120,37.71542539189804,55.75516375097069,"{type=Point, coordinates=[37.71542539189803, 55.75516375097069]}"
10,Пекарня 24,637376664,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 47",5,37.718474071807925,55.750211166145725,"{type=Point, coordinates=[37.71847407180792, 55.750211166145725]}"
12,ШКОЛА 735,637376708,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 51",140,37.72098869657803,55.746325696672486,"{type=Point, coordinates=[37.72098869657803, 55.74632569667249]}"
14,Гимназия 1542,637376788,столовая,Новомосковский административный округ,поселение Щербинка,"город Москва, улица Авиаторов, дом 16",270,37.533839182416486,55.51361335283005,"{type=Point, coordinates=[37.53383918241649, 55.51361335283005]}"
23,ГБОУ Школа № 1411 (970),637377440,столовая,Северо-Восточный административный округ,район Отрадное,"город Москва, Алтуфьевское шоссе, дом 42Б",120,37.589045000000006,55.872932791537956,"{type=Point, coordinates=[37.589045000000006, 55.872932791537956]}"
26,РАХИМКУЛОВА Т.Х.,637377571,столовая,Северо-Восточный административный округ,район Бибирево,"город Москва, Алтуфьевское шоссе, дом 102Б",20,37.59132052872169,55.90406171774881,"{type=Point, coordinates=[37.59132052872169, 55.90406171774882]}"
27,СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ,637377631,столовая,Северо-Восточный административный округ,район Свиблово,"город Москва, улица Амундсена, дом 10",192,37.657212875944,55.8530419802775,"{type=Point, coordinates=[37.657212875944, 55.8530419802775]}"
28,ШКОЛА 1444,637377662,столовая,Северо-Восточный административный округ,Лосиноостровский район,"город Москва, Анадырский проезд, дом 55",240,37.704196,55.879103,"{type=Point, coordinates=[37.704196, 55.879103]}"
32,Гимназия № 1527,637377845,столовая,Южный административный округ,район Нагатинский Затон,"город Москва, проспект Андропова, дом 17, корпус 2",240,37.66820550994687,55.68319929578544,"{type=Point, coordinates=[37.668205509946866, 55.683199295785435]}"
36,Кларом,637377978,столовая,Южный административный округ,район Нагатино-Садовники,"город Москва, проспект Андропова, дом 38, корпус 2",24,37.65961950402761,55.6744891449848,"{type=Point, coordinates=[37.65961950402761, 55.6744891449848]}"
60,Буфет при Астраханских банях,637379209,столовая,Центральный административный округ,Мещанский район,"город Москва, Астраханский переулок, дом 5/9",3,37.63957789928531,55.77888133760811,"{type=Point, coordinates=[37.63957789928531, 55.77888133760811]}"
61,Столовая при школе 2097,637379232,столовая,Северо-Западный административный округ,район Южное Тушино,"город Москва, Аэродромная улица, дом 9",240,37.430252,55.84698778393582,"{type=Point, coordinates=[37.430252, 55.84698778393582]}"
62,Столовая,637379244,столовая,Восточный административный округ,район Сокольники,"город Москва, Бабаевская улица, дом 3",90,37.688965563116696,55.79073739487534,"{type=Point, coordinates=[37.688965563116696, 55.79073739487534]}"
63,БУФЕТ ШК.104,637379268,столовая,Юго-Западный административный округ,Академический район,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2",80,37.56309022589957,55.68438723959252,"{type=Point, coordinates=[37.56309022589957, 55.68438723959252]}"
65,ГБОУ Школа № 1078,637379420,столовая,Восточный административный округ,район Гольяново,"город Москва, Байкальская улица, дом 29",110,37.807359982844446,55.817612219101655,"{type=Point, coordinates=[37.80735998284445, 55.817612219101655]}"
