"url","Link","Area","CostPerYear","ClosestSubway","SubwayDistance","City","City_link","Region","District","Subway","Street","Building","Address"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 221 м² за 179 894 руб./мес.","Своб. назнач. 221 м² за 179 894 руб./мес.","9 768 руб. за м² в год","Локомотив","10; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ВАО","р-н Гольяново","м. Локомотив","Щелковское шоссе","9","Москва; р-н Гольяново; Щелковское шоссе; 9"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 95 м² за 190 000 руб./мес.","Своб. назнач. 95 м² за 190 000 руб./мес.","24 000 руб. за м² в год","Выставочный центр","2; минуты; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","СВАО","р-н Останкинский","м. Выставочный центр","1-я Останкинская улица","57","Москва; р-н Останкинский; 1-я Останкинская улица; 57"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. от 77 м² до 200 м² от 77 000 руб./мес.","Своб. назнач. от 77 м² до 200 м² от 77 000 руб./мес.","12 000 руб. за м² в год","Панфиловская","3; минуты; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","САО","р-н Сокол","м. Панфиловская","улица Панфилова","2С2","Москва; р-н Сокол; улица Панфилова; 2С2"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 98 м² за 219 814 руб./мес.","Своб. назнач. 98 м² за 219 814 руб./мес.","26 916 руб. за м² в год","Шоссе Энтузиастов","5; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ВАО","р-н Перово","м. Шоссе Энтузиастов","шоссе Энтузиастов","48/1","Москва; р-н Перово; шоссе Энтузиастов; 48/1"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 152 м² за 224 053 руб./мес.","Своб. назнач. 152 м² за 224 053 руб./мес.","17 700 руб. за м² в год","Парк Культуры","7; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ЦАО","р-н Хамовники","м. Парк Культуры","Зубовский бульвар","16-20","Москва; р-н Хамовники; Зубовский бульвар; 16-20"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 111 м² за 235 578 руб./мес.","Своб. назнач. 111 м² за 235 578 руб./мес.","25 560 руб. за м² в год","Нижегородская","11; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ЮВАО","р-н Нижегородский","м. Нижегородская","Рязанский проспект","2/1к2А","Москва; р-н Нижегородский; Рязанский проспект; 2/1к2А"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 200 м² за 250 000 руб./мес.","Своб. назнач. 200 м² за 250 000 руб./мес.","15 000 руб. за м² в год","Курская","5; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ЦАО","р-н Басманный","м. Курская","Старая Басманная улица","5С1","Москва; р-н Басманный; Старая Басманная улица; 5С1"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 130 м² за 258 960 руб./мес.","Своб. назнач. 130 м² за 258 960 руб./мес.","23 904 руб. за м² в год","Бауманская","5; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ЦАО","р-н Басманный","м. Бауманская","Бауманская улица","58А","Москва; р-н Басманный; Бауманская улица; 58А"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 100 м² за 265 000 руб./мес.","Своб. назнач. 100 м² за 265 000 руб./мес.","31 800 руб. за м² в год","Новогиреево","12; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ВАО","р-н Ивановское","м. Новогиреево","улица Молостовых","16К1","Москва; р-н Ивановское; улица Молостовых; 16К1"
"https://www.cian.ru/cat.php?deal_type=rent&engine_version=2&offer_type=offices&office_type%5B0%5D=4&p=2&region=1","Своб. назнач. 133 м² за 266 000 руб./мес.","Своб. назнач. 133 м² за 266 000 руб./мес.","24 000 руб. за м² в год","Кожуховская","7; минут; пешком","Москва","https://www.cian.ru/snyat-pomeshenie-pod-obshepit/","ЮВАО","р-н Южнопортовый","м. Кожуховская","улица Трофимова","32К1","Москва; р-н Южнопортовый; улица Трофимова; 32К1"
