,NAME,MAN_MADE,LEISURE,AMENITY,OFFICE,SHOP,TOURISM,SPORT,OSM_TYPE,OSM_ID,geometry
9,Трактир,,,restaurant,,,,,node,379767816,POINT (37.715506 55.7564826)
15,Brussels,,,cafe,,,,,node,382926608,POINT (37.5677648 55.8124807)
16,Креветка,,,cafe,,,,,node,112549000,POINT (37.5271538 55.6517026)
22,Якитория,,,restaurant,,,,,node,411299605,POINT (37.3533887 55.6372787)
43,I like bar,,,restaurant,,,,,node,431440140,POINT (37.6084734 55.7161574)
46,Бенвенуто,,,restaurant,,,,,node,433333411,POINT (37.7201561 55.616142)
74,Макдоналдс,,,fast_food,,,,,node,411303460,POINT (37.6023619 55.8851057)
97,KFC,,,fast_food,,,,,node,452627478,POINT (37.7655091 55.7061931)
108,,,,restaurant,,,,,node,454538161,POINT (37.6835869 55.6182369)
116,IL Патио,,,restaurant,,,,,node,452627477,POINT (37.7653731 55.7063944)
120,Столовая ЦИАМ,,,fast_food,,,,,node,460418837,POINT (37.7098885 55.758985)
122,Макдоналдс,,,fast_food,,,,,node,447943980,POINT (37.7047054 55.8656313)
130,True Burgers,,,cafe,,,,,node,469372549,POINT (37.5609638 55.7464981)
135,Планета,,,restaurant,,,,,node,470842295,POINT (37.5175147 55.6458584)
137,Сахара,,,cafe,,,,,node,460433746,POINT (37.5767712 55.580458)
139,Пельмешка,,,cafe,,,,,node,453233907,POINT (37.6651231 55.7322108)
141,,,,bar,,,,,node,470836553,POINT (37.5264122 55.6437075)
158,Эгриси,,,restaurant,,,,,node,474957327,POINT (37.6964277 55.6115297)
160,Макдоналдс,,,fast_food,,,,,node,474781485,POINT (37.6236458 55.6336394)
170,Планета Суши,,,restaurant,,,,,node,474781487,POINT (37.6240009 55.6337074)
172,Уют,,,restaurant,,,,,node,475001462,POINT (37.7212719 55.6900095)
175,,,,cafe,,,,,node,479731680,POINT (37.5410692 55.6560377)
178,KFC,,,fast_food,,,,,node,474781490,POINT (37.6237773 55.633543)
188,Макдоналдс,,,fast_food,,,,,node,478801671,POINT (37.566261 55.7459087)
211,KFC,,,fast_food,,,,,node,480915614,POINT (37.5474888 55.9016792)
221,KFC,,,fast_food,,,,,node,480803501,POINT (37.5546714 55.6713304)
230,Бакинский бульвар,,,restaurant,,,,,node,505069117,POINT (37.5937757 55.6416706)
237,,,,cafe,,,,,node,505182654,POINT (37.788666 55.7018928)
239,Наполеон,,,restaurant,,,,,node,480056693,POINT (37.5329686 55.6784974)
263,На изумрудной,,,cafe,,,,,node,520358965,POINT (37.6839384 55.871815)
264,Макдоналдс,,,fast_food,,,,,node,524465310,POINT (37.601586 55.6904958)
