,District,CostPerYear
0,Академический,86400.0
1,Алексеевский,141600.0
2,Алтуфьевский,36000.0
3,Арбат,239769.0
4,Аэропорт,126988.0
5,Бабушкинский,67500.0
6,Басманный,257143.0
7,Беговой,199200.0
8,Бескудниковский,38292.0
9,Бибирево,54600.0
10,Бирюлево Восточное,18000.0
11,Бирюлево Западное,12000.0
12,Богородское,90540.0
13,Братеево,44400.0
14,Бутырский,45000.0
15,ВАО,23275.0
16,Внуково,4200.0
17,Войковский,210000.0
18,Воскресенское поселение,11000.0
19,Восточное Дегунино,15120.0
20,Восточное Измайлово,24000.0
21,Выхино-Жулебино,31476.0
22,Гагаринский,106400.0
23,Головинский,24137.0
24,Гольяново,23640.0
25,Даниловский,131227.0
26,Десеновское поселение,20316.0
27,Дмитровский,24000.0
28,Донской,157584.0
29,Дорогомилово,86580.0
30,ЗАО,14000.0
31,Замоскворечье,190000.0
32,Западное Дегунино,84360.0
33,Зеленоград,12000.0
34,Зюзино,40800.0
35,Зябликово,49500.0
36,Ивановское,31800.0
37,Измайлово,120000.0
38,Коньково,30840.0
39,Коптево,27600.0
40,Косино-Ухтомский,40000.0
41,Котловка,39360.0
42,Красносельский,229308.0
43,Крылатское,108000.0
44,Крюково,30000.0
45,Кузьминки,68750.0
46,Кунцево,72000.0
47,Куркино,23760.0
48,Левобережный,32424.0
49,Лефортово,150000.0
50,Лианозово,12000.0
51,Ломоносовский,53388.0
52,Лосиноостровский,16163.0
53,Люблино,22740.0
54,"МКАД, 32-й км",4800.0
55,"МКАД, 65-й км",6000.0
56,Марфино,73846.0
57,Марьина роща,70668.0
58,Марьино,102000.0
59,Мещанский,159700.0
60,Митино,119388.0
61,Можайский,33000.0
62,Москворечье-Сабурово,90000.0
63,Московский,15996.0
64,НАО (Новомосковский),20400.0
65,Нагатино-Садовники,58920.0
66,Нагатинский затон,77064.0
67,Нагорный,41664.0
68,Некрасовка,20400.0
69,Нижегородский,91200.0
70,Ново-Переделкино,54000.0
71,Новогиреево,119988.0
72,Новокосино,20532.0
73,Обручевский,70588.0
74,Орехово-Борисово Северное,23592.0
75,Орехово-Борисово Южное,44400.0
76,Останкинский,155200.0
77,Отрадное,78600.0
78,Очаково-Матвеевское,28800.0
79,Перово,48000.0
80,Печатники,18228.0
81,Покровское-Стрешнево,91008.0
82,Преображенское,38280.0
83,Пресненский,166656.0
84,Проспект Вернадского,40000.0
85,Раменки,80863.0
86,Ростокино,24000.0
87,Рязановское поселение,5784.0
88,Рязанский,30000.0
89,СЗАО,45474.0
90,Савеловский,40920.0
91,Савёлки,19356.0
92,Свиблово,90000.0
93,Северное Бутово,21600.0
94,Северное Измайлово,28037.0
95,Северное Тушино,45000.0
96,Северный,18000.0
97,Силино,15156.0
98,Сокол,55824.0
99,Соколиная гора,120000.0
100,Сокольники,60000.0
101,Солнцево,42000.0
102,Сосенское поселение,21000.0
103,Строгино,36000.0
104,Таганский,149280.0
105,Тверской,279600.0
106,Текстильщики,21912.0
107,Теплый Стан,60000.0
108,Тимирязевский,21000.0
109,Троицк,15000.0
110,Тропарево-Никулино,35000.0
111,Филевский парк,84000.0
112,Хамовники,248500.0
113,Ховрино,26664.0
114,Хорошево-Мневники,48000.0
115,Хорошевский,75096.0
116,ЦАО,78096.0
117,Царицыно,61776.0
118,Черемушки,45000.0
119,Чертаново Северное,15552.0
120,Чертаново Южное,59712.0
121,Щербинка,18400.0
122,Щукино,92772.0
123,ЮАО,159037.0
124,ЮВАО,29796.0
125,ЮЗАО,88074.0
126,Южное Бутово,66000.0
127,Южное Медведково,27996.0
128,Южное Тушино,27000.0
129,Южнопортовый,32529.0
130,Якиманка,178300.0
131,Ярославский,48000.0
132,Ясенево,58632.0
133,пос. Коммунарка,19200.0
