,District,CostPerYear
0,Академический,23687.076923076922
1,Алексеевский,31778.8
2,Алтуфьевский,33000.0
3,Арбат,80392.13043478261
4,Аэропорт,56276.57142857143
5,Бабушкинский,39072.0
6,Басманный,56947.64893617021
7,Беговой,47301.0
8,Бескудниковский,20546.0
9,Бибирево,20877.6
10,Бирюлево Восточное,14631.42857142857
11,Бирюлево Западное,8014.6
12,Богородское,47991.53846153846
13,Братеево,44400.0
14,Бутырский,28039.466666666667
15,ВАО,22226.0
16,Внуково,4200.0
17,Войковский,47751.0
18,Воскресенское поселение,8666.666666666666
19,Восточное Дегунино,13780.0
20,Восточное Измайлово,18209.0
21,Выхино-Жулебино,18848.0
22,Гагаринский,38707.36363636364
23,Головинский,14339.125
24,Гольяново,14989.714285714286
25,Даниловский,23972.63888888889
26,Десеновское поселение,11370.222222222223
27,Дмитровский,20070.88888888889
28,Донской,50985.444444444445
29,Дорогомилово,37356.833333333336
30,ЗАО,14000.0
31,Замоскворечье,53369.21951219512
32,Западное Дегунино,31474.0
33,Зеленоград,8512.0
34,Зюзино,23488.0
35,Зябликово,33750.0
36,Ивановское,31800.0
37,Измайлово,51545.86666666667
38,Коньково,19891.2
39,Коптево,19058.0
40,Косино-Ухтомский,22420.833333333332
41,Котловка,24900.0
42,Красносельский,55179.255319148935
43,Крылатское,43318.71428571428
44,Крюково,15060.0
45,Кузьминки,36348.666666666664
46,Кунцево,33065.153846153844
47,Куркино,14523.0
48,Левобережный,17084.8
49,Лефортово,28052.380952380954
50,Лианозово,12000.0
51,Ломоносовский,24639.764705882353
52,Лосиноостровский,14081.5
53,Люблино,16561.714285714286
54,"МКАД, 32-й км",4800.0
55,"МКАД, 65-й км",6000.0
56,Марфино,45623.0
57,Марьина роща,29447.555555555555
58,Марьино,23095.25
59,Мещанский,50989.694444444445
60,Митино,30157.809523809523
61,Можайский,21520.444444444445
62,Москворечье-Сабурово,38250.0
63,Московский,11947.2
64,НАО (Новомосковский),19800.0
65,Нагатино-Садовники,31664.0
66,Нагатинский затон,46707.0
67,Нагорный,28233.0
68,Некрасовка,16250.0
69,Нижегородский,19953.76923076923
70,Ново-Переделкино,38000.0
71,Новогиреево,27584.0
72,Новокосино,20532.0
73,Обручевский,31605.785714285714
74,Орехово-Борисово Северное,17790.0
75,Орехово-Борисово Южное,32281.666666666668
76,Останкинский,43635.25
77,Отрадное,26668.615384615383
78,Очаково-Матвеевское,13987.111111111111
79,Перово,23313.5
80,Печатники,9954.0
81,Покровское-Стрешнево,25283.071428571428
82,Преображенское,21357.625
83,Пресненский,55732.42857142857
84,Проспект Вернадского,33730.0
85,Раменки,38828.117647058825
86,Ростокино,16250.0
87,Рязановское поселение,5784.0
88,Рязанский,20868.125
89,СЗАО,45474.0
90,Савеловский,40920.0
91,Савёлки,13838.4
92,Свиблово,33769.5
93,Северное Бутово,17550.0
94,Северное Измайлово,18706.25
95,Северное Тушино,25824.0
96,Северный,11472.0
97,Силино,15078.0
98,Сокол,19960.923076923078
99,Соколиная гора,26819.153846153848
100,Сокольники,20517.23076923077
101,Солнцево,22866.666666666668
102,Сосенское поселение,19950.0
103,Строгино,26700.0
104,Таганский,41469.0
105,Тверской,62980.66292134832
106,Текстильщики,19796.0
107,Теплый Стан,60000.0
108,Тимирязевский,16468.0
109,Троицк,12048.0
110,Тропарево-Никулино,19722.8
111,Филевский парк,32437.894736842107
112,Хамовники,46121.18918918919
113,Ховрино,22485.0
114,Хорошево-Мневники,24509.2
115,Хорошевский,28619.235294117647
116,ЦАО,63847.666666666664
117,Царицыно,24117.333333333332
118,Черемушки,29283.0
119,Чертаново Северное,12878.0
120,Чертаново Южное,24281.25
121,Щербинка,16450.0
122,Щукино,28160.444444444445
123,ЮАО,53632.4
124,ЮВАО,28744.5
125,ЮЗАО,88074.0
126,Южное Бутово,22794.7
127,Южное Медведково,21042.166666666668
128,Южное Тушино,15240.625
129,Южнопортовый,18077.695652173912
130,Якиманка,43691.416666666664
131,Ярославский,35666.666666666664
132,Ясенево,31096.8
133,пос. Коммунарка,14226.0
