,District,CostPerYear
0,Академический,13350.0
1,Алексеевский,20010.0
2,Алтуфьевский,33000.0
3,Арбат,63672.0
4,Аэропорт,41856.0
5,Бабушкинский,38994.0
6,Басманный,38776.5
7,Беговой,38940.0
8,Бескудниковский,17976.0
9,Бибирево,12000.0
10,Бирюлево Восточное,15600.0
11,Бирюлево Западное,6480.0
12,Богородское,60000.0
13,Братеево,44400.0
14,Бутырский,28800.0
15,ВАО,22226.0
16,Внуково,4200.0
17,Войковский,22325.0
18,Воскресенское поселение,7800.0
19,Восточное Дегунино,14016.0
20,Восточное Измайлово,20418.0
21,Выхино-Жулебино,19626.0
22,Гагаринский,36000.0
23,Головинский,14646.0
24,Гольяново,14760.0
25,Даниловский,19500.0
26,Десеновское поселение,9120.0
27,Дмитровский,21996.0
28,Донской,28234.0
29,Дорогомилово,29664.0
30,ЗАО,14000.0
31,Замоскворечье,50000.0
32,Западное Дегунино,20500.0
33,Зеленоград,8736.0
34,Зюзино,19200.0
35,Зябликово,33750.0
36,Ивановское,31800.0
37,Измайлово,24000.0
38,Коньково,21600.0
39,Коптево,19200.0
40,Косино-Ухтомский,17382.5
41,Котловка,27000.0
42,Красносельский,36586.0
43,Крылатское,37968.0
44,Крюково,12000.0
45,Кузьминки,26952.0
46,Кунцево,30000.0
47,Куркино,14700.0
48,Левобережный,18000.0
49,Лефортово,19116.0
50,Лианозово,12000.0
51,Ломоносовский,24000.0
52,Лосиноостровский,14081.5
53,Люблино,16980.0
54,"МКАД, 32-й км",4800.0
55,"МКАД, 65-й км",6000.0
56,Марфино,45623.0
57,Марьина роща,18666.0
58,Марьино,18072.0
59,Мещанский,44498.0
60,Митино,23400.0
61,Можайский,22272.0
62,Москворечье-Сабурово,24000.0
63,Московский,9870.0
64,НАО (Новомосковский),19800.0
65,Нагатино-Садовники,25000.0
66,Нагатинский затон,46707.0
67,Нагорный,26898.0
68,Некрасовка,16284.0
69,Нижегородский,11820.0
70,Ново-Переделкино,48000.0
71,Новогиреево,12900.0
72,Новокосино,20532.0
73,Обручевский,29532.0
74,Орехово-Борисово Северное,15996.0
75,Орехово-Борисово Южное,33540.0
76,Останкинский,23988.0
77,Отрадное,24936.0
78,Очаково-Матвеевское,12000.0
79,Перово,21804.0
80,Печатники,7608.0
81,Покровское-Стрешнево,15000.0
82,Преображенское,22094.5
83,Пресненский,50000.0
84,Проспект Вернадского,37440.0
85,Раменки,30000.0
86,Ростокино,16200.0
87,Рязановское поселение,5784.0
88,Рязанский,19654.0
89,СЗАО,45474.0
90,Савеловский,40920.0
91,Савёлки,12000.0
92,Свиблово,33090.0
93,Северное Бутово,16500.0
94,Северное Измайлово,20394.0
95,Северное Тушино,23988.0
96,Северный,11400.0
97,Силино,15078.0
98,Сокол,18060.0
99,Соколиная гора,20625.0
100,Сокольники,15000.0
101,Солнцево,19200.0
102,Сосенское поселение,20100.0
103,Строгино,32400.0
104,Таганский,34074.0
105,Тверской,54000.0
106,Текстильщики,19476.0
107,Теплый Стан,60000.0
108,Тимирязевский,16436.0
109,Троицк,12048.0
110,Тропарево-Никулино,18166.0
111,Филевский парк,23076.0
112,Хамовники,35000.0
113,Ховрино,25272.0
114,Хорошево-Мневники,26240.0
115,Хорошевский,30000.0
116,ЦАО,68536.0
117,Царицыно,18000.0
118,Черемушки,29316.0
119,Чертаново Северное,13858.0
120,Чертаново Южное,18540.0
121,Щербинка,16450.0
122,Щукино,20000.0
123,ЮАО,34797.0
124,ЮВАО,28744.5
125,ЮЗАО,88074.0
126,Южное Бутово,21600.0
127,Южное Медведково,19962.0
128,Южное Тушино,13630.0
129,Южнопортовый,18000.0
130,Якиманка,30000.0
131,Ярославский,30000.0
132,Ясенево,33000.0
133,пос. Коммунарка,14226.0
