,District,CostPerYear
0,Академический,6600.0
1,Алексеевский,12000.0
2,Алтуфьевский,30000.0
3,Арбат,15000.0
4,Аэропорт,6756.0
5,Бабушкинский,10800.0
6,Басманный,7680.0
7,Беговой,8000.0
8,Бескудниковский,12000.0
9,Бибирево,11988.0
10,Бирюлево Восточное,10200.0
11,Бирюлево Западное,4193.0
12,Богородское,12000.0
13,Братеево,44400.0
14,Бутырский,10800.0
15,ВАО,21177.0
16,Внуково,4200.0
17,Войковский,7080.0
18,Воскресенское поселение,7200.0
19,Восточное Дегунино,12204.0
20,Восточное Измайлово,8000.0
21,Выхино-Жулебино,3960.0
22,Гагаринский,2244.0
23,Головинский,3708.0
24,Гольяново,9768.0
25,Даниловский,1200.0
26,Десеновское поселение,5500.0
27,Дмитровский,7070.0
28,Донской,4800.0
29,Дорогомилово,13000.0
30,ЗАО,14000.0
31,Замоскворечье,12000.0
32,Западное Дегунино,12492.0
33,Зеленоград,4800.0
34,Зюзино,12000.0
35,Зябликово,18000.0
36,Ивановское,31800.0
37,Измайлово,6000.0
38,Коньково,5040.0
39,Коптево,9996.0
40,Косино-Ухтомский,10800.0
41,Котловка,6240.0
42,Красносельский,11979.0
43,Крылатское,9615.0
44,Крюково,9960.0
45,Кузьминки,13344.0
46,Кунцево,6499.0
47,Куркино,7740.0
48,Левобережный,3200.0
49,Лефортово,4200.0
50,Лианозово,12000.0
51,Ломоносовский,10008.0
52,Лосиноостровский,12000.0
53,Люблино,7500.0
54,"МКАД, 32-й км",4800.0
55,"МКАД, 65-й км",6000.0
56,Марфино,17400.0
57,Марьина роща,7620.0
58,Марьино,6000.0
59,Мещанский,17000.0
60,Митино,9492.0
61,Можайский,6500.0
62,Москворечье-Сабурово,12000.0
63,Московский,9600.0
64,НАО (Новомосковский),19200.0
65,Нагатино-Садовники,14500.0
66,Нагатинский затон,16350.0
67,Нагорный,19700.0
68,Некрасовка,11532.0
69,Нижегородский,4000.0
70,Ново-Переделкино,12000.0
71,Новогиреево,8900.0
72,Новокосино,20532.0
73,Обручевский,5630.0
74,Орехово-Борисово Северное,15576.0
75,Орехово-Борисово Южное,18000.0
76,Останкинский,12309.0
77,Отрадное,8796.0
78,Очаково-Матвеевское,7584.0
79,Перово,9576.0
80,Печатники,6000.0
81,Покровское-Стрешнево,5760.0
82,Преображенское,4800.0
83,Пресненский,12000.0
84,Проспект Вернадского,23750.0
85,Раменки,8990.0
86,Ростокино,8600.0
87,Рязановское поселение,5784.0
88,Рязанский,16200.0
89,СЗАО,45474.0
90,Савеловский,40920.0
91,Савёлки,11388.0
92,Свиблово,17000.0
93,Северное Бутово,15600.0
94,Северное Измайлово,6000.0
95,Северное Тушино,16200.0
96,Северный,240.0
97,Силино,15000.0
98,Сокол,6216.0
99,Соколиная гора,9000.0
100,Сокольники,6000.0
101,Солнцево,12800.0
102,Сосенское поселение,18600.0
103,Строгино,6000.0
104,Таганский,12000.0
105,Тверской,15600.0
106,Текстильщики,18000.0
107,Теплый Стан,60000.0
108,Тимирязевский,12000.0
109,Троицк,9096.0
110,Тропарево-Никулино,8248.0
111,Филевский парк,5400.0
112,Хамовники,13380.0
113,Ховрино,15519.0
114,Хорошево-Мневники,9000.0
115,Хорошевский,10800.0
116,ЦАО,44911.0
117,Царицыно,10800.0
118,Черемушки,13500.0
119,Чертаново Северное,8244.0
120,Чертаново Южное,13332.0
121,Щербинка,14500.0
122,Щукино,6600.0
123,ЮАО,14328.0
124,ЮВАО,27693.0
125,ЮЗАО,88074.0
126,Южное Бутово,1224.0
127,Южное Медведково,15000.0
128,Южное Тушино,8632.0
129,Южнопортовый,9600.0
130,Якиманка,8556.0
131,Ярославский,29000.0
132,Ясенево,11856.0
133,пос. Коммунарка,9252.0
