,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
18,Тануки,637377206,ресторан,Северный административный округ,район Коптево,"город Москва, Большая Академическая улица, дом 65",160,37.54761,55.840266,"{type=Point, coordinates=[37.54761, 55.840266]}"
31,Готика,637377794,ресторан,Северный административный округ,Дмитровский район,"город Москва, Ангарская улица, дом 39",65,37.524521570801696,55.879112362577104,"{type=Point, coordinates=[37.5245215708017, 55.8791123625771]}"
37,Месопотамия,637378082,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 4, строение 1",50,37.59845548770145,55.75201590992224,"{type=Point, coordinates=[37.59845548770146, 55.75201590992224]}"
40,TAJJ MAHAL,637378210,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 6/2",100,37.597569559758966,55.75202381407097,"{type=Point, coordinates=[37.597569559758966, 55.75202381407097]}"
47,IL Pizzaiolo,637378607,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 31",70,37.59279877035469,55.749653840749914,"{type=Point, coordinates=[37.59279877035469, 55.74965384074991]}"
51,Эрик Рыжий,637378788,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 36/2, строение 1",30,37.5888682527611,55.74883711556409,"{type=Point, coordinates=[37.5888682527611, 55.7488371155641]}"
55,ВОСТОЧНЫЙ КВАРТАЛ,637378895,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 45/24",90,37.5881406293922,55.748109888093296,"{type=Point, coordinates=[37.5881406293922, 55.7481098880933]}"
56,ПОЧТМЕЙСТЕР,637378921,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 47/23",30,37.58755925940361,55.74799700957472,"{type=Point, coordinates=[37.587559259403605, 55.74799700957472]}"
57,БОСФОР,637378925,ресторан,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 47/23",78,37.58755925940361,55.74799700957472,"{type=Point, coordinates=[37.587559259403605, 55.74799700957472]}"
58,Мастер,637379078,ресторан,Западный административный округ,район Фили-Давыдково,"город Москва, улица Артамонова, дом 7",20,37.459335892551046,55.71909258788646,"{type=Point, coordinates=[37.459335892551046, 55.71909258788646]}"
68,ТАНУКИ,637379577,ресторан,Юго-Западный административный округ,район Зюзино,"город Москва, Балаклавский проспект, дом 48, корпус 1",96,37.5721332059936,55.6482135986494,"{type=Point, coordinates=[37.5721332059936, 55.6482135986494]}"
70,ХуанХэ,637379707,ресторан,Северный административный округ,район Аэропорт,"город Москва, 1-й Балтийский переулок, дом 3/25",60,37.5187626110118,55.810537571792096,"{type=Point, coordinates=[37.5187626110118, 55.8105375717921]}"
81,Розмарин,637380207,ресторан,Северный административный округ,район Беговой,"город Москва, Беговая улица, дом 28",80,37.5606759676678,55.7814827124128,"{type=Point, coordinates=[37.5606759676678, 55.7814827124128]}"
82,АЗЕРБАЙДЖАН,637380255,ресторан,Северо-Западный административный округ,район Хорошёво-Мнёвники,"город Москва, улица Демьяна Бедного, дом 4",180,37.486914061171504,55.769830485601204,"{type=Point, coordinates=[37.4869140611715, 55.7698304856012]}"
89,Вояж,637380599,ресторан,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 57, корпус 1",80,37.538326789741,55.872553383512496,"{type=Point, coordinates=[37.538326789741, 55.8725533835125]}"
101,РЕСТОРАН «ПРИМАВЕРА»,637381097,ресторан,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Бирюзова, дом 21",50,37.4903794752185,55.794729684502,"{type=Point, coordinates=[37.4903794752185, 55.794729684502]}"
121,Местечко,637381903,ресторан,Центральный административный округ,Тверской район,"город Москва, Большая Бронная улица, дом 27/4",45,37.60256453956346,55.764134959774346,"{type=Point, coordinates=[37.60256453956347, 55.764134959774346]}"
126,Ресторан «Humans seafood bar»,637382094,ресторан,Центральный административный округ,Пресненский район,"город Москва, Малая Бронная улица, дом 10, строение 1",70,37.59666362271272,55.7607277189359,"{type=Point, coordinates=[37.59666362271272, 55.7607277189359]}"
127,Ресторан «Голос»,637382144,ресторан,Центральный административный округ,Пресненский район,"город Москва, Малая Бронная улица, дом 10, строение 1",50,37.596685787493406,55.760724678878695,"{type=Point, coordinates=[37.596685787493406, 55.760724678878695]}"
130,Ресторан«Uilliams»,637382305,ресторан,Центральный административный округ,Пресненский район,"город Москва, Малая Бронная улица, дом 20А",49,37.595527433020095,55.76253327971369,"{type=Point, coordinates=[37.5955274330201, 55.7625332797137]}"
131,Ресторан «ДОННА КЛАРА»,637382357,ресторан,Центральный административный округ,Пресненский район,"город Москва, Малая Бронная улица, дом 21/13, строение 1",48,37.5948783384392,55.7626358967093,"{type=Point, coordinates=[37.5948783384392, 55.7626358967093]}"
138,Чайхона №1,637382794,ресторан,Юго-Западный административный округ,район Коньково,"город Москва, улица Бутлерова, дом 22",159,37.534833557490444,55.64914335898365,"{type=Point, coordinates=[37.534833557490444, 55.64914335898365]}"
144,Панчо Пицца,637382987,ресторан,Северный административный округ,Савёловский район,"город Москва, Бутырская улица, дом 89",64,37.5813600050037,55.806054850085,"{type=Point, coordinates=[37.5813600050037, 55.806054850085]}"
145,KFC,637383039,ресторан,Северный административный округ,Савёловский район,"город Москва, Бутырская улица, дом 89",67,37.58139219151169,55.806054850085,"{type=Point, coordinates=[37.5813921915117, 55.806054850085]}"
147,IL Borgo,637383217,ресторан,Юго-Западный административный округ,Ломоносовский район,"город Москва, улица Вавилова, дом 81",42,37.547978,55.680713,"{type=Point, coordinates=[37.547978, 55.680713]}"
163,Чешский ресторан «ПРАЖЕЧКА»,637383853,ресторан,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Василевского, дом 17",75,37.4621840940537,55.8089368743414,"{type=Point, coordinates=[37.4621840940537, 55.8089368743414]}"
166,ТАНУКИ,637384115,ресторан,Южный административный округ,Даниловский район,"город Москва, Велозаводская улица, дом 6",114,37.66494496568687,55.712287558023775,"{type=Point, coordinates=[37.66494496568687, 55.71228755802378]}"
167,Авлабар,637384167,ресторан,Южный административный округ,Даниловский район,"город Москва, Велозаводская улица, дом 6",40,37.66494496568687,55.712287558023775,"{type=Point, coordinates=[37.66494496568687, 55.71228755802378]}"
179,Панорама 93,637384692,ресторан,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 93",60,37.4951202626655,55.6674110893323,"{type=Point, coordinates=[37.4951202626655, 55.6674110893323]}"
193,Гамбринус,637385165,ресторан,Восточный административный округ,район Перово,"город Москва, 1-я Владимирская улица, дом 9",50,37.77443279164496,55.75947587865381,"{type=Point, coordinates=[37.774432791644955, 55.75947587865381]}"
205,Тануки,637385741,ресторан,Восточный административный округ,район Перово,"город Москва, 3-я Владимирская улица, дом 29",100,37.7914091573784,55.7534053233054,"{type=Point, coordinates=[37.7914091573784, 55.7534053233054]}"
214,Кафе «Тануки»,637386135,ресторан,Центральный административный округ,Таганский район,"город Москва, Волгоградский проспект, дом 17",150,37.6793250070634,55.7285038812421,"{type=Point, coordinates=[37.6793250070634, 55.7285038812421]}"
245,Элит,637387552,ресторан,Восточный административный округ,район Сокольники,"город Москва, улица Гастелло, дом 37",98,37.6896997915322,55.7840558073774,"{type=Point, coordinates=[37.6896997915322, 55.7840558073774]}"
262,Баба Марта,637388181,ресторан,Центральный административный округ,район Хамовники,"город Москва, Гоголевский бульвар, дом 8",45,37.60083284245151,55.74581819700289,"{type=Point, coordinates=[37.6008328424515, 55.7458181970029]}"
278,АРМЕНИЯ,637388812,ресторан,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 17",144,37.6053595370626,55.764088622517,"{type=Point, coordinates=[37.6053595370626, 55.764088622517]}"
280,Найт флайт,637388865,ресторан,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 17",47,37.606779275281,55.763400809187296,"{type=Point, coordinates=[37.606779275281, 55.7634008091873]}"
283,Dry and wet Bar,637388995,ресторан,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 27, строение 1",70,37.598292558048094,55.768059062030495,"{type=Point, coordinates=[37.5982925580481, 55.7680590620305]}"
290,Якитория,637389309,ресторан,Центральный административный округ,Тверской район,"город Москва, 1-я Тверская-Ямская улица, дом 7",80,37.59225425563,55.7719271096922,"{type=Point, coordinates=[37.59225425563, 55.7719271096922]}"
301,Чайна дрим,637389678,ресторан,Западный административный округ,район Фили-Давыдково,"город Москва, Кутузовский проспект, дом 71",90,37.4522998605304,55.7238093002363,"{type=Point, coordinates=[37.4522998605304, 55.7238093002363]}"
302,Ресторан «Молон лаве»,637389756,ресторан,Центральный административный округ,Пресненский район,"город Москва, Большая Грузинская улица, дом 39",45,37.58126202964123,55.77048060935689,"{type=Point, coordinates=[37.58126202964123, 55.77048060935689]}"
303,Ресторан «Сайгон»,637389758,ресторан,Центральный административный округ,Пресненский район,"город Москва, Большая Грузинская улица, дом 39",68,37.58126202964123,55.77048060935689,"{type=Point, coordinates=[37.58126202964123, 55.77048060935689]}"
306,Ресторан «Бургер Кинг»,637389941,ресторан,Центральный административный округ,Пресненский район,"город Москва, улица Грузинский Вал, дом 28/45",60,37.58290642421878,55.77489062688191,"{type=Point, coordinates=[37.58290642421878, 55.77489062688191]}"
