,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
16,Суши Wok,637377112,to go,Юго-Западный административный округ,район Зюзино,"город Москва, Азовская улица, дом 3",7,37.60571094349396,55.662293596238726,"{type=Point, coordinates=[37.60571094349396, 55.66229359623873]}"
17,Донер Кебаб,637377139,to go,Юго-Западный административный округ,район Зюзино,"город Москва, Азовская улица, дом 4",2,37.60208371306162,55.66040245956391,"{type=Point, coordinates=[37.60208371306162, 55.660402459563905]}"
29,Люляшка Эрро,637377664,to go,Центральный административный округ,Красносельский район,"город Москва, Ананьевский переулок, дом 4/2, строение 1",12,37.636930009462205,55.77070767399301,"{type=Point, coordinates=[37.6369300094622, 55.77070767399301]}"
97,СУШИ SHOP,637380885,to go,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Бирюзова, дом 13",12,37.49491473218983,55.79219275316868,"{type=Point, coordinates=[37.49491473218982, 55.79219275316868]}"
157,Шаурма в пите,637383591,to go,Южный административный округ,Нагорный район,"город Москва, Варшавское шоссе, дом 72, корпус 2",0,37.61877125032963,55.656838628142665,"{type=Point, coordinates=[37.61877125032963, 55.656838628142665]}"
160,Суши,637383701,to go,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Василевского, дом 3, корпус 1",0,37.472316384066716,55.803157742033065,"{type=Point, coordinates=[37.47231638406671, 55.803157742033065]}"
162,РЕСТОРАН «МАКДОНАЛДС»,637383821,to go,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Василевского, дом 17",45,37.46287073956191,55.8085751256853,"{type=Point, coordinates=[37.4628707395619, 55.8085751256853]}"
168,Суши Сет,637384220,to go,Восточный административный округ,район Соколиная Гора,"город Москва, Вельяминовская улица, дом 6",3,37.722681,55.781477,"{type=Point, coordinates=[37.722681, 55.781477]}"
174,Тирольские пироги,637384429,to go,Юго-Западный административный округ,Ломоносовский район,"город Москва, проспект Вернадского, дом 13",10,37.52731770698013,55.687449351027865,"{type=Point, coordinates=[37.52731770698013, 55.687449351027865]}"
195,"Шаурма, куры-гриль",637385234,to go,Восточный административный округ,район Перово,"город Москва, 1-я Владимирская улица, дом 21",0,37.776921106101824,55.75608422501774,"{type=Point, coordinates=[37.776921106101824, 55.756084225017744]}"
196,Французская пекарня,637385294,to go,Восточный административный округ,район Перово,"город Москва, 1-я Владимирская улица, дом 39/12",12,37.78055342172077,55.74954622272495,"{type=Point, coordinates=[37.78055342172077, 55.74954622272495]}"
198,Суши Стоп,637385410,to go,Восточный административный округ,район Перово,"город Москва, 2-я Владимирская улица, дом 32, корпус 1",0,37.78339007145925,55.75204117003391,"{type=Point, coordinates=[37.783390071459245, 55.752041170033905]}"
199,Суши фиш,637385478,to go,Восточный административный округ,район Перово,"город Москва, 2-я Владимирская улица, дом 36",3,37.78354765696985,55.75099284776306,"{type=Point, coordinates=[37.78354765696985, 55.75099284776306]}"
201,"Шаурма, куры-гриль",637385581,to go,Восточный административный округ,район Перово,"город Москва, 2-я Владимирская улица, дом 44/10",0,37.78501722062139,55.74913631246656,"{type=Point, coordinates=[37.78501722062139, 55.74913631246656]}"
204,"Шаурма, выпечка",637385689,to go,Восточный административный округ,район Перово,"город Москва, 3-я Владимирская улица, дом 27",0,37.79112856470429,55.75399907741965,"{type=Point, coordinates=[37.791128564704294, 55.75399907741965]}"
207,Алло Пицца,637385821,to go,Юго-Западный административный округ,Обручевский район,"город Москва, улица Архитектора Власова, дом 47",40,37.543812780990365,55.66639159334729,"{type=Point, coordinates=[37.54381278099036, 55.666391593347285]}"
219,Сити Пицца,637386293,to go,Юго-Восточный административный округ,район Выхино-Жулебино,"город Москва, Ферганская улица, дом 12",4,37.80873718403081,55.708165406278916,"{type=Point, coordinates=[37.80873718403081, 55.708165406278916]}"
225,Суши-шоп,637386604,to go,Северо-Западный административный округ,район Покровское-Стрешнево,"город Москва, Волоколамское шоссе, дом 92",0,37.43450343402693,55.82475182107788,"{type=Point, coordinates=[37.43450343402693, 55.824751821077875]}"
246,Пекарня,637387579,to go,Восточный административный округ,район Сокольники,"город Москва, улица Гастелло, дом 37",0,37.69074,55.784091,"{type=Point, coordinates=[37.69074, 55.784091]}"
248,Суши Сет,637387657,to go,Северо-Западный административный округ,район Северное Тушино,"город Москва, улица Героев Панфиловцев, дом 1, корпус 1",4,37.437211295887565,55.852429994238314,"{type=Point, coordinates=[37.437211295887565, 55.85242999423831]}"
250,Суши Стор,637387736,to go,Северо-Западный административный округ,район Северное Тушино,"город Москва, улица Героев Панфиловцев, дом 16, корпус 1",4,37.424066143819076,55.85881300888755,"{type=Point, coordinates=[37.424066143819076, 55.85881300888755]}"
284,БИСТРО,637389021,to go,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 27, строение 1",0,37.59771741708653,55.76795791461674,"{type=Point, coordinates=[37.59771741708653, 55.767957914616744]}"
296,КОФЕ С СОБОЙ,637389494,to go,Центральный административный округ,Тверской район,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",0,37.589760703008125,55.77335755367174,"{type=Point, coordinates=[37.58976070300813, 55.77335755367174]}"
310,"Выпечка, кофейня",637390053,to go,Южный административный округ,район Орехово-Борисово Южное,"город Москва, Гурьевский проезд, дом 25, корпус 1",0,37.754842884129125,55.60795417668889,"{type=Point, coordinates=[37.754842884129125, 55.607954176688885]}"
311,Пицца Помодоро,637390077,to go,Южный административный округ,район Орехово-Борисово Южное,"город Москва, Гурьевский проезд, дом 31, корпус 1",0,37.75825078825279,55.6093104843912,"{type=Point, coordinates=[37.75825078825278, 55.6093104843912]}"
336,Донеретт,637391260,to go,Южный административный округ,район Чертаново Центральное,"город Москва, Днепропетровская улица, дом 3, корпус 1",0,37.60393549481412,55.6218318167218,"{type=Point, coordinates=[37.60393549481412, 55.6218318167218]}"
343,Джастфою,637391654,to go,Северный административный округ,район Восточное Дегунино,"город Москва, Дубнинская улица, дом 4, корпус 1",1,37.569075766888076,55.85832013270442,"{type=Point, coordinates=[37.569075766888076, 55.85832013270443]}"
351,Суши Wok,637391898,to go,Северо-Восточный административный округ,Ярославский район,"город Москва, улица Дудинка, дом 1",8,37.68876193455792,55.86132315648252,"{type=Point, coordinates=[37.68876193455792, 55.86132315648252]}"
359,"Шаурма, выпечка",637392296,to go,Северный административный округ,район Коптево,"город Москва, бульвар Матроса Железняка, дом 7/20",0,37.5246729999999,55.82777,"{type=Point, coordinates=[37.5246729999999, 55.82777]}"
372,Крошка Картошка,637392963,to go,Восточный административный округ,район Перово,"город Москва, 1-я Владимирская улица, дом 37/15",8,37.78026632977335,55.75038428358495,"{type=Point, coordinates=[37.78026632977335, 55.75038428358494]}"
373,"Шаурма, куры-гриль",637393032,to go,Восточный административный округ,район Перово,"город Москва, 1-я Владимирская улица, дом 37/15",0,37.78020928724549,55.75042723130215,"{type=Point, coordinates=[37.78020928724548, 55.75042723130215]}"
374,Бургер Кинг,637393048,to go,Восточный административный округ,район Новогиреево,"город Москва, Зелёный проспект, дом 62А",86,37.8200551496572,55.7510384673336,"{type=Point, coordinates=[37.8200551496572, 55.7510384673336]}"
399,Донер кебаб,637394209,to go,Южный административный округ,район Царицыно,"город Москва, Пролетарский проспект, дом 14/49, корпус 1",0,37.65445090931999,55.63676822576759,"{type=Point, coordinates=[37.65445090931998, 55.63676822576759]}"
406,Суши Wok,637394556,to go,Западный административный округ,район Фили-Давыдково,"город Москва, Кастанаевская улица, дом 54",5,37.46858247526345,55.73415021230396,"{type=Point, coordinates=[37.46858247526345, 55.73415021230396]}"
418,Шаурма&Гриль,637395186,to go,Юго-Западный административный округ,район Зюзино,"город Москва, Керченская улица, дом 1, корпус 1",2,37.58063671751162,55.651920036684594,"{type=Point, coordinates=[37.580636717511624, 55.651920036684594]}"
421,Сабвей,637395298,to go,Западный административный округ,район Дорогомилово,"город Москва, Киевская улица, дом 20",10,37.546343877343126,55.73876264236489,"{type=Point, coordinates=[37.54634387734313, 55.73876264236489]}"
434,Крошка Картошка,637395750,to go,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 30/1/2, строение 1",15,37.63916423041074,55.76528752837034,"{type=Point, coordinates=[37.63916423041074, 55.765287528370344]}"
500,Выпечка,637398537,to go,Северный административный округ,район Аэропорт,"город Москва, Красноармейская улица, дом 5",8,37.547506505764794,55.79774771150982,"{type=Point, coordinates=[37.54750650576479, 55.79774771150982]}"
503,Бургер Кинг,637398645,to go,Юго-Восточный административный округ,район Люблино,"город Москва, Краснодарская улица, дом 51, корпус 2",50,37.765532001620855,55.6774018514271,"{type=Point, coordinates=[37.765532001620855, 55.6774018514271]}"
511,Суши сет,637399254,to go,Центральный административный округ,Красносельский район,"город Москва, Краснопрудная улица, дом 22-24",0,37.66627,55.779144,"{type=Point, coordinates=[37.66627, 55.779144]}"
514,Кондитерская Фортутти,637399309,to go,Центральный административный округ,Красносельский район,"город Москва, Верхняя Красносельская улица, дом 34",20,37.66475825090089,55.78015235788746,"{type=Point, coordinates=[37.66475825090089, 55.78015235788746]}"
521,Чебуреки,637399576,to go,Южный административный округ,район Чертаново Центральное,"город Москва, улица Красного Маяка, дом 2",0,37.6017857874558,55.61186407716727,"{type=Point, coordinates=[37.601785787455796, 55.61186407716727]}"
526,Subway,637399893,to go,Юго-Западный административный округ,Академический район,"город Москва, улица Кржижановского, дом 18, корпус 2",12,37.57041753758958,55.67919598264029,"{type=Point, coordinates=[37.570417537589584, 55.679195982640294]}"
556,Волконский,637401383,to go,Центральный административный округ,район Хамовники,"город Москва, Малый Лёвшинский переулок, дом 14/9, строение 1",16,37.589536,55.742514,"{type=Point, coordinates=[37.589536, 55.742514]}"
598,Шаурма,637407496,to go,Центральный административный округ,район Якиманка,"город Москва, Ленинский проспект, дом 2А",0,37.61091850620754,55.72874134252983,"{type=Point, coordinates=[37.61091850620754, 55.72874134252983]}"
614,True burgers,637408134,to go,Юго-Западный административный округ,Гагаринский район,"город Москва, Ленинский проспект, дом 68/10",4,37.544218932632575,55.689698827536176,"{type=Point, coordinates=[37.544218932632575, 55.689698827536176]}"
627,Магазин-кулинария АРГО И К,637408870,to go,Северо-Восточный административный округ,район Бибирево,"город Москва, улица Лескова, дом 5",20,37.59396709197438,55.89866882209344,"{type=Point, coordinates=[37.59396709197438, 55.89866882209344]}"
660,Кофе на вынос,637410395,to go,Центральный административный округ,Таганский район,"город Москва, Марксистская улица, дом 1, корпус 1",0,37.65898181057413,55.74028626376086,"{type=Point, coordinates=[37.658981810574126, 55.74028626376086]}"
699,Донер-Кебаб,637412228,to go,Южный административный округ,район Нагатино-Садовники,"город Москва, улица Академика Миллионщикова, дом 7, корпус 1",0,37.65166052372475,55.67198170580443,"{type=Point, coordinates=[37.65166052372475, 55.671981705804434]}"
723,Босс-кулинария,637413212,to go,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 114Б",0,37.63798783882103,55.80824641087315,"{type=Point, coordinates=[37.637987838821026, 55.80824641087315]}"
731,Пекарня «ПаПан»,637413559,to go,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, дом 180",10,37.64574180872093,55.82397323479152,"{type=Point, coordinates=[37.64574180872093, 55.82397323479151]}"
738,Шаурма,637413821,to go,Северный административный округ,район Коптево,"город Москва, Михалковская улица, дом 9",0,37.53057355296991,55.83839504506361,"{type=Point, coordinates=[37.530573552969905, 55.83839504506362]}"
748,KFC,637414299,to go,Западный административный округ,Можайский район,"город Москва, Можайское шоссе, дом 39",98,37.4148913847036,55.7176909972859,"{type=Point, coordinates=[37.4148913847036, 55.7176909972859]}"
750,Папа Джонс,637414404,to go,Западный административный округ,район Кунцево,"город Москва, Молодогвардейская улица, дом 26, корпус 1",24,37.41931464495959,55.73413528838679,"{type=Point, coordinates=[37.41931464495959, 55.73413528838679]}"
756,Магазин-кулинария,637414593,to go,Северо-Восточный административный округ,район Бибирево,"город Москва, Мурановская улица, дом 6",0,37.60035121209897,55.89204486909248,"{type=Point, coordinates=[37.60035121209897, 55.89204486909248]}"
768,СУШИ МАГИЯ,637415247,to go,Северо-Западный административный округ,район Щукино,"город Москва, улица Народного Ополчения, дом 43, корпус 1",4,37.49028002680067,55.79215422735287,"{type=Point, coordinates=[37.49028002680067, 55.79215422735286]}"
793,"Шаурма, выпечка",637416374,to go,Восточный административный округ,район Перово,"город Москва, Новогиреевская улица, дом 20/34, корпус 1",0,37.79421709700041,55.7591248349576,"{type=Point, coordinates=[37.79421709700042, 55.7591248349576]}"
806,Теремок,637417011,to go,Центральный административный округ,Тверской район,"город Москва, Новослободская улица, дом 5, строение 1",43,37.6005341530053,55.779426313456,"{type=Point, coordinates=[37.6005341530053, 55.779426313456]}"
814,Кулинариум,637417307,to go,Центральный административный округ,Тверской район,"город Москва, Новослободская улица, дом 33",20,37.597938401608246,55.78219925603858,"{type=Point, coordinates=[37.597938401608246, 55.78219925603858]}"
823,"Кафе «Мама, я в Тбилиси»",637417780,to go,Центральный административный округ,Таганский район,"город Москва, улица Воронцово Поле, дом 18",4,37.65560082477516,55.75449792316965,"{type=Point, coordinates=[37.655600824775156, 55.754497923169644]}"
